Position = 0105, Accumulator = 0.000000e+00, Counter = 0
Position = 0106, Accumulator = 0.000000e+00, Counter = 0
Position = 0107, Accumulator = 0.000000e+00, Counter = 2
Position = 0108, Accumulator = 0.000000e+00, Counter = 2
Position = 0109, Accumulator = 0.000000e+00, Counter = 0
Position = 0110, Accumulator = 0.000000e+00, Counter = 2
Position = 0111, Accumulator = 0.000000e+00, Counter = 0
Position = 0112, Accumulator = 0.000000e+00, Counter = 2
Position = 0113, Accumulator = 0.000000e+00, Counter = 0
Position = 0114, Accumulator = 0.000000e+00, Counter = 2
Position = 0115, Accumulator = 0.000000e+00, Counter = 0
Position = 0116, Accumulator = 0.000000e+00, Counter = 0
Position = 0117, Accumulator = 0.000000e+00, Counter = 0
Position = 0118, Accumulator = 0.000000e+00, Counter = 0
Position = 0119, Accumulator = 0.000000e+00, Counter = 1
Position = 0120, Accumulator = 0.000000e+00, Counter = 0
Position = 0121, Accumulator = 0.000000e+00, Counter = 0
Position = 0122, Accumulator = 0.000000e+00, Counter = 0
Position = 0123, Accumulator = 0.000000e+00, Counter = 0
Position = 0124, Accumulator = 0.000000e+00, Counter = 0
Position = 0125, Accumulator = 0.000000e+00, Counter = 0
Position = 0126, Accumulator = 0.000000e+00, Counter = 0
Position = 0127, Accumulator = 0.000000e+00, Counter = 1
Position = 0128, Accumulator = 0.000000e+00, Counter = 0
Position = 0129, Accumulator = 0.000000e+00, Counter = 2
Position = 0130, Accumulator = 0.000000e+00, Counter = 1
Position = 0131, Accumulator = 0.000000e+00, Counter = 0
Position = 0132, Accumulator = 0.000000e+00, Counter = 1
Position = 0133, Accumulator = 0.000000e+00, Counter = 1
Position = 0134, Accumulator = 0.000000e+00, Counter = 2
Position = 0135, Accumulator = 0.000000e+00, Counter = 0
Position = 0136, Accumulator = 0.000000e+00, Counter = 0
Position = 0137, Accumulator = 0.000000e+00, Counter = 0
Position = 0138, Accumulator = 0.000000e+00, Counter = 1
Position = 0139, Accumulator = 0.000000e+00, Counter = 0
Position = 0140, Accumulator = 0.000000e+00, Counter = 2
Position = 0141, Accumulator = 0.000000e+00, Counter = 1
Position = 0142, Accumulator = 0.000000e+00, Counter = 1
Position = 0143, Accumulator = 0.000000e+00, Counter = 0
Position = 0144, Accumulator = 0.000000e+00, Counter = 1
Position = 0145, Accumulator = 0.000000e+00, Counter = 0
Position = 0146, Accumulator = 0.000000e+00, Counter = 0
Position = 0147, Accumulator = 0.000000e+00, Counter = 0
Position = 0148, Accumulator = 0.000000e+00, Counter = 1
Position = 0149, Accumulator = 0.000000e+00, Counter = 0
Position = 0150, Accumulator = 0.000000e+00, Counter = 0
Position = 0151, Accumulator = 0.000000e+00, Counter = 0
Position = 0152, Accumulator = 0.000000e+00, Counter = 2
Position = 0153, Accumulator = 0.000000e+00, Counter = 0
Position = 0154, Accumulator = 0.000000e+00, Counter = 0
Position = 0155, Accumulator = 0.000000e+00, Counter = 2
Position = 0156, Accumulator = 0.000000e+00, Counter = 0
Position = 0157, Accumulator = 0.000000e+00, Counter = 0
Position = 0158, Accumulator = 0.000000e+00, Counter = 2
Position = 0159, Accumulator = 0.000000e+00, Counter = 0
Position = 0160, Accumulator = 0.000000e+00, Counter = 0
Position = 0161, Accumulator = 0.000000e+00, Counter = 0
Position = 0162, Accumulator = 0.000000e+00, Counter = 2
Position = 0163, Accumulator = 0.000000e+00, Counter = 1
Position = 0164, Accumulator = 0.000000e+00, Counter = 0
Position = 0165, Accumulator = 0.000000e+00, Counter = 0
Position = 0166, Accumulator = 0.000000e+00, Counter = 0
Position = 0167, Accumulator = 0.000000e+00, Counter = 0
Position = 0168, Accumulator = 0.000000e+00, Counter = 1
Position = 0169, Accumulator = 0.000000e+00, Counter = 0
Position = 0170, Accumulator = 0.000000e+00, Counter = 1
Position = 0171, Accumulator = 0.000000e+00, Counter = 2
Position = 0172, Accumulator = 0.000000e+00, Counter = 2
Position = 0173, Accumulator = 0.000000e+00, Counter = 0
Position = 0174, Accumulator = 0.000000e+00, Counter = 0
Position = 0175, Accumulator = 0.000000e+00, Counter = 0
Position = 0176, Accumulator = 0.000000e+00, Counter = 0
Position = 0177, Accumulator = 0.000000e+00, Counter = 2
Position = 0178, Accumulator = 0.000000e+00, Counter = 2
Position = 0179, Accumulator = 0.000000e+00, Counter = 0
Position = 0180, Accumulator = 0.000000e+00, Counter = 0
